"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"11521","Native",1,38,"disamb","rp","disamb rp",6,0,328,328,"Unambiguous","Consistent",328
"11523","Native",1,39,"disamb","rp","disamb rp",7,1,0,NA,"Ambiguous","Inconsistent",NA
"11525","Native",1,26,"disamb","rp","disamb rp",6,0,586,586,"Unambiguous","Consistent",586
"11527","Native",1,34,"disamb","rp","disamb rp",6,1,0,NA,"Unambiguous","Consistent",NA
"11529","Native",1,46,"disamb","rp","disamb rp",6,1,0,NA,"Unambiguous","Consistent",NA
"11531","Native",1,29,"disamb","rp","disamb rp",5,1,0,NA,"Ambiguous","Consistent",NA
"11533","Native",1,36,"disamb","rp","disamb rp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"11535","Native",1,30,"disamb","rp","disamb rp",6,1,0,NA,"Unambiguous","Consistent",NA
"11537","Native",1,40,"disamb","rp","disamb rp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"11539","Native",1,33,"disamb","rp","disamb rp",5,1,0,NA,"Ambiguous","Consistent",NA
"11541","Native",1,43,"disamb","rp","disamb rp",7,0,708,708,"Ambiguous","Inconsistent",708
"11543","Native",1,28,"disamb","rp","disamb rp",8,0,375,375,"Unambiguous","Inconsistent",375
"11545","Native",1,31,"disamb","rp","disamb rp",7,1,0,NA,"Ambiguous","Inconsistent",NA
"11547","Native",1,45,"disamb","rp","disamb rp",5,0,298,298,"Ambiguous","Consistent",298
"11549","Native",1,25,"disamb","rp","disamb rp",5,1,0,NA,"Ambiguous","Consistent",NA
"11551","Native",1,41,"disamb","rp","disamb rp",5,0,252,252,"Ambiguous","Consistent",252
"11553","Native",1,42,"disamb","rp","disamb rp",6,0,853,853,"Unambiguous","Consistent",853
"11555","Native",1,37,"disamb","rp","disamb rp",5,0,1039,1039,"Ambiguous","Consistent",1039
"11557","Native",1,32,"disamb","rp","disamb rp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"11559","Native",1,48,"disamb","rp","disamb rp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"11561","Native",1,47,"disamb","rp","disamb rp",7,1,0,NA,"Ambiguous","Inconsistent",NA
"11563","Native",1,44,"disamb","rp","disamb rp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"11565","Native",1,27,"disamb","rp","disamb rp",7,1,0,NA,"Ambiguous","Inconsistent",NA
"11567","Native",1,35,"disamb","rp","disamb rp",7,0,201,201,"Ambiguous","Inconsistent",201
"11569","Native",2,46,"disamb","rp","disamb rp",7,0,159,159,"Ambiguous","Inconsistent",159
"11571","Native",2,25,"disamb","rp","disamb rp",6,1,0,NA,"Unambiguous","Consistent",NA
"11573","Native",2,39,"disamb","rp","disamb rp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"11575","Native",2,38,"disamb","rp","disamb rp",7,0,1007,1007,"Ambiguous","Inconsistent",1007
"11577","Native",2,30,"disamb","rp","disamb rp",7,0,576,576,"Ambiguous","Inconsistent",576
"11579","Native",2,27,"disamb","rp","disamb rp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"11581","Native",2,29,"disamb","rp","disamb rp",6,0,675,675,"Unambiguous","Consistent",675
"11583","Native",2,33,"disamb","rp","disamb rp",6,1,0,NA,"Unambiguous","Consistent",NA
"11585","Native",2,32,"disamb","rp","disamb rp",5,0,662,662,"Ambiguous","Consistent",662
"11587","Native",2,43,"disamb","rp","disamb rp",8,0,653,653,"Unambiguous","Inconsistent",653
"11589","Native",2,45,"disamb","rp","disamb rp",6,1,0,NA,"Unambiguous","Consistent",NA
"11591","Native",2,48,"disamb","rp","disamb rp",5,1,0,NA,"Ambiguous","Consistent",NA
"11593","Native",2,47,"disamb","rp","disamb rp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"11595","Native",2,31,"disamb","rp","disamb rp",8,0,407,407,"Unambiguous","Inconsistent",407
"11597","Native",2,26,"disamb","rp","disamb rp",7,0,183,183,"Ambiguous","Inconsistent",183
"11599","Native",2,42,"disamb","rp","disamb rp",7,0,176,176,"Ambiguous","Inconsistent",176
"11601","Native",2,36,"disamb","rp","disamb rp",5,0,194,194,"Ambiguous","Consistent",194
"11603","Native",2,35,"disamb","rp","disamb rp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"11605","Native",2,44,"disamb","rp","disamb rp",5,0,514,514,"Ambiguous","Consistent",514
"11607","Native",2,41,"disamb","rp","disamb rp",6,0,315,315,"Unambiguous","Consistent",315
"11609","Native",2,37,"disamb","rp","disamb rp",6,0,209,209,"Unambiguous","Consistent",209
"11611","Native",2,40,"disamb","rp","disamb rp",5,1,0,NA,"Ambiguous","Consistent",NA
"11613","Native",2,28,"disamb","rp","disamb rp",5,1,0,NA,"Ambiguous","Consistent",NA
"11615","Native",2,34,"disamb","rp","disamb rp",7,0,301,301,"Ambiguous","Inconsistent",301
"11618","Native",3,34,"disamb","rp","disamb rp",8,0,563,563,"Unambiguous","Inconsistent",563
"11620","Native",3,30,"disamb","rp","disamb rp",8,0,562,562,"Unambiguous","Inconsistent",562
"11622","Native",3,38,"disamb","rp","disamb rp",8,0,1617,1617,"Unambiguous","Inconsistent",1617
"11624","Native",3,43,"disamb","rp","disamb rp",5,0,1042,1042,"Ambiguous","Consistent",1042
"11626","Native",3,47,"disamb","rp","disamb rp",5,0,1174,1174,"Ambiguous","Consistent",1174
"11628","Native",3,25,"disamb","rp","disamb rp",7,0,327,327,"Ambiguous","Inconsistent",327
"11630","Native",3,37,"disamb","rp","disamb rp",7,0,622,622,"Ambiguous","Inconsistent",622
"11632","Native",3,40,"disamb","rp","disamb rp",6,0,1735,1735,"Unambiguous","Consistent",1735
"11634","Native",3,42,"disamb","rp","disamb rp",8,0,7381,7381,"Unambiguous","Inconsistent",NA
"11636","Native",3,33,"disamb","rp","disamb rp",7,0,416,416,"Ambiguous","Inconsistent",416
"11638","Native",3,39,"disamb","rp","disamb rp",5,0,397,397,"Ambiguous","Consistent",397
"11640","Native",3,41,"disamb","rp","disamb rp",7,0,1095,1095,"Ambiguous","Inconsistent",1095
"11642","Native",3,27,"disamb","rp","disamb rp",5,0,484,484,"Ambiguous","Consistent",484
"11644","Native",3,29,"disamb","rp","disamb rp",7,0,1202,1202,"Ambiguous","Inconsistent",1202
"11646","Native",3,46,"disamb","rp","disamb rp",8,0,384,384,"Unambiguous","Inconsistent",384
"11648","Native",3,28,"disamb","rp","disamb rp",6,0,385,385,"Unambiguous","Consistent",385
"11650","Native",3,35,"disamb","rp","disamb rp",5,0,2240,2240,"Ambiguous","Consistent",2240
"11652","Native",3,45,"disamb","rp","disamb rp",7,0,1781,1781,"Ambiguous","Inconsistent",1781
"11654","Native",3,32,"disamb","rp","disamb rp",6,0,1315,1315,"Unambiguous","Consistent",1315
"11656","Native",3,26,"disamb","rp","disamb rp",8,0,659,659,"Unambiguous","Inconsistent",659
"11658","Native",3,36,"disamb","rp","disamb rp",6,0,473,473,"Unambiguous","Consistent",473
"11660","Native",3,31,"disamb","rp","disamb rp",5,0,874,874,"Ambiguous","Consistent",874
"11662","Native",3,48,"disamb","rp","disamb rp",6,0,1194,1194,"Unambiguous","Consistent",1194
"11664","Native",3,44,"disamb","rp","disamb rp",6,1,0,NA,"Unambiguous","Consistent",NA
"11666","Native",4,43,"disamb","rp","disamb rp",6,0,306,306,"Unambiguous","Consistent",306
"11668","Native",4,33,"disamb","rp","disamb rp",8,0,161,161,"Unambiguous","Inconsistent",161
"11670","Native",4,29,"disamb","rp","disamb rp",8,0,211,211,"Unambiguous","Inconsistent",211
