"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"23042","Native",1,24,"disamb","tt","disamb tt",4,0,188,188,"Unambiguous","Mismatch",188
"23044","Native",1,12,"disamb","tt","disamb tt",4,0,751,751,"Unambiguous","Mismatch",751
"23046","Native",1,6,"disamb","tt","disamb tt",2,0,1373,1373,"Ambiguous","Mismatch",1373
"23048","Native",1,7,"disamb","tt","disamb tt",3,0,562,562,"Unambiguous","Match",562
"23050","Native",1,14,"disamb","tt","disamb tt",2,0,606,606,"Ambiguous","Mismatch",606
"23052","Native",1,21,"disamb","tt","disamb tt",1,0,790,790,"Ambiguous","Match",790
"23054","Native",1,19,"disamb","tt","disamb tt",3,1,0,NA,"Unambiguous","Match",NA
"23056","Native",1,17,"disamb","tt","disamb tt",1,0,251,251,"Ambiguous","Match",251
"23058","Native",1,10,"disamb","tt","disamb tt",2,0,712,712,"Ambiguous","Mismatch",712
"23060","Native",1,23,"disamb","tt","disamb tt",3,0,674,674,"Unambiguous","Match",674
"23062","Native",1,15,"disamb","tt","disamb tt",3,0,348,348,"Unambiguous","Match",348
"23064","Native",1,1,"disamb","tt","disamb tt",1,0,201,201,"Ambiguous","Match",201
"23066","Native",1,2,"disamb","tt","disamb tt",2,0,276,276,"Ambiguous","Mismatch",276
"23068","Native",1,5,"disamb","tt","disamb tt",1,0,347,347,"Ambiguous","Match",347
"23070","Native",1,16,"disamb","tt","disamb tt",4,0,518,518,"Unambiguous","Mismatch",518
"23072","Native",1,3,"disamb","tt","disamb tt",3,0,1043,1043,"Unambiguous","Match",1043
"23074","Native",1,13,"disamb","tt","disamb tt",1,0,356,356,"Ambiguous","Match",356
"23076","Native",1,11,"disamb","tt","disamb tt",3,0,451,451,"Unambiguous","Match",451
"23078","Native",1,9,"disamb","tt","disamb tt",1,0,335,335,"Ambiguous","Match",335
"23080","Native",1,8,"disamb","tt","disamb tt",4,0,424,424,"Unambiguous","Mismatch",424
"23082","Native",1,4,"disamb","tt","disamb tt",4,0,253,253,"Unambiguous","Mismatch",253
"23084","Native",1,20,"disamb","tt","disamb tt",4,0,696,696,"Unambiguous","Mismatch",696
"23086","Native",1,18,"disamb","tt","disamb tt",2,0,234,234,"Ambiguous","Mismatch",234
"23088","Native",1,22,"disamb","tt","disamb tt",2,0,560,560,"Ambiguous","Mismatch",560
"23090","Native",2,14,"disamb","tt","disamb tt",3,0,376,376,"Unambiguous","Match",376
"23092","Native",2,4,"disamb","tt","disamb tt",1,0,941,941,"Ambiguous","Match",941
"23094","Native",2,19,"disamb","tt","disamb tt",4,0,468,468,"Unambiguous","Mismatch",468
"23096","Native",2,1,"disamb","tt","disamb tt",2,0,359,359,"Ambiguous","Mismatch",359
"23098","Native",2,5,"disamb","tt","disamb tt",2,0,263,263,"Ambiguous","Mismatch",263
"23100","Native",2,15,"disamb","tt","disamb tt",4,0,1044,1044,"Unambiguous","Mismatch",1044
"23102","Native",2,7,"disamb","tt","disamb tt",4,0,177,177,"Unambiguous","Mismatch",177
"23104","Native",2,18,"disamb","tt","disamb tt",3,0,210,210,"Unambiguous","Match",210
"23106","Native",2,6,"disamb","tt","disamb tt",3,0,491,491,"Unambiguous","Match",491
"23108","Native",2,22,"disamb","tt","disamb tt",3,0,1057,1057,"Unambiguous","Match",1057
"23110","Native",2,10,"disamb","tt","disamb tt",3,0,734,734,"Unambiguous","Match",734
"23112","Native",2,8,"disamb","tt","disamb tt",1,0,646,646,"Ambiguous","Match",646
"23114","Native",2,24,"disamb","tt","disamb tt",1,0,448,448,"Ambiguous","Match",448
"23116","Native",2,17,"disamb","tt","disamb tt",2,1,0,NA,"Ambiguous","Mismatch",NA
"23118","Native",2,2,"disamb","tt","disamb tt",3,0,181,181,"Unambiguous","Match",181
"23120","Native",2,11,"disamb","tt","disamb tt",4,0,192,192,"Unambiguous","Mismatch",192
"23122","Native",2,3,"disamb","tt","disamb tt",4,0,209,209,"Unambiguous","Mismatch",209
"23124","Native",2,21,"disamb","tt","disamb tt",2,1,0,NA,"Ambiguous","Mismatch",NA
"23126","Native",2,20,"disamb","tt","disamb tt",1,0,244,244,"Ambiguous","Match",244
"23128","Native",2,16,"disamb","tt","disamb tt",1,0,142,142,"Ambiguous","Match",142
"23130","Native",2,13,"disamb","tt","disamb tt",2,0,321,321,"Ambiguous","Mismatch",321
"23132","Native",2,9,"disamb","tt","disamb tt",2,0,731,731,"Ambiguous","Mismatch",731
"23134","Native",2,12,"disamb","tt","disamb tt",1,0,269,269,"Ambiguous","Match",269
"23136","Native",2,23,"disamb","tt","disamb tt",4,0,391,391,"Unambiguous","Mismatch",391
"23137","Native",3,11,"disamb","tt","disamb tt",1,0,465,465,"Ambiguous","Match",465
"23139","Native",3,21,"disamb","tt","disamb tt",3,0,145,145,"Unambiguous","Match",145
"23141","Native",3,2,"disamb","tt","disamb tt",4,0,1794,1794,"Unambiguous","Mismatch",1794
"23143","Native",3,20,"disamb","tt","disamb tt",2,0,2108,2108,"Ambiguous","Mismatch",2108
"23145","Native",3,9,"disamb","tt","disamb tt",3,0,564,564,"Unambiguous","Match",564
"23147","Native",3,4,"disamb","tt","disamb tt",2,0,1408,1408,"Ambiguous","Mismatch",1408
"23149","Native",3,3,"disamb","tt","disamb tt",1,0,868,868,"Ambiguous","Match",868
"23151","Native",3,1,"disamb","tt","disamb tt",3,0,826,826,"Unambiguous","Match",826
"23153","Native",3,13,"disamb","tt","disamb tt",3,0,1643,1643,"Unambiguous","Match",1643
"23155","Native",3,18,"disamb","tt","disamb tt",4,0,305,305,"Unambiguous","Mismatch",305
"23157","Native",3,7,"disamb","tt","disamb tt",1,0,440,440,"Ambiguous","Match",440
"23159","Native",3,5,"disamb","tt","disamb tt",3,0,579,579,"Unambiguous","Match",579
"23161","Native",3,15,"disamb","tt","disamb tt",1,0,757,757,"Ambiguous","Match",757
"23163","Native",3,16,"disamb","tt","disamb tt",2,0,1035,1035,"Ambiguous","Mismatch",1035
"23165","Native",3,8,"disamb","tt","disamb tt",2,0,859,859,"Ambiguous","Mismatch",859
"23167","Native",3,22,"disamb","tt","disamb tt",4,0,1503,1503,"Unambiguous","Mismatch",1503
"23169","Native",3,17,"disamb","tt","disamb tt",3,0,409,409,"Unambiguous","Match",409
"23171","Native",3,19,"disamb","tt","disamb tt",1,0,1874,1874,"Ambiguous","Match",1874
"23173","Native",3,23,"disamb","tt","disamb tt",1,0,1072,1072,"Ambiguous","Match",1072
"23175","Native",3,14,"disamb","tt","disamb tt",4,0,393,393,"Unambiguous","Mismatch",393
