"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"15362","Native",1,24,"reflexive","rp","reflexive rp",4,1,0,NA,"Unambiguous","Mismatch",NA
"15364","Native",1,12,"reflexive","rp","reflexive rp",4,0,230,230,"Unambiguous","Mismatch",230
"15366","Native",1,6,"reflexive","rp","reflexive rp",2,1,0,NA,"Ambiguous","Mismatch",NA
"15368","Native",1,7,"reflexive","rp","reflexive rp",3,0,322,322,"Unambiguous","Match",322
"15370","Native",1,14,"reflexive","rp","reflexive rp",2,0,636,636,"Ambiguous","Mismatch",636
"15372","Native",1,21,"reflexive","rp","reflexive rp",1,0,183,183,"Ambiguous","Match",183
"15374","Native",1,19,"reflexive","rp","reflexive rp",3,0,189,189,"Unambiguous","Match",189
"15376","Native",1,17,"reflexive","rp","reflexive rp",1,0,297,297,"Ambiguous","Match",297
"15378","Native",1,10,"reflexive","rp","reflexive rp",2,0,218,218,"Ambiguous","Mismatch",218
"15380","Native",1,23,"reflexive","rp","reflexive rp",3,0,690,690,"Unambiguous","Match",690
"15382","Native",1,15,"reflexive","rp","reflexive rp",3,1,0,NA,"Unambiguous","Match",NA
"15384","Native",1,1,"reflexive","rp","reflexive rp",1,0,317,317,"Ambiguous","Match",317
"15386","Native",1,2,"reflexive","rp","reflexive rp",2,0,196,196,"Ambiguous","Mismatch",196
"15388","Native",1,5,"reflexive","rp","reflexive rp",1,0,179,179,"Ambiguous","Match",179
"15390","Native",1,16,"reflexive","rp","reflexive rp",4,0,228,228,"Unambiguous","Mismatch",228
"15392","Native",1,3,"reflexive","rp","reflexive rp",3,0,224,224,"Unambiguous","Match",224
"15394","Native",1,13,"reflexive","rp","reflexive rp",1,1,0,NA,"Ambiguous","Match",NA
"15396","Native",1,11,"reflexive","rp","reflexive rp",3,0,191,191,"Unambiguous","Match",191
"15398","Native",1,9,"reflexive","rp","reflexive rp",1,1,0,NA,"Ambiguous","Match",NA
"15400","Native",1,8,"reflexive","rp","reflexive rp",4,0,211,211,"Unambiguous","Mismatch",211
"15402","Native",1,4,"reflexive","rp","reflexive rp",4,0,287,287,"Unambiguous","Mismatch",287
"15404","Native",1,20,"reflexive","rp","reflexive rp",4,0,177,177,"Unambiguous","Mismatch",177
"15406","Native",1,18,"reflexive","rp","reflexive rp",2,0,318,318,"Ambiguous","Mismatch",318
"15408","Native",1,22,"reflexive","rp","reflexive rp",2,0,285,285,"Ambiguous","Mismatch",285
"15410","Native",2,14,"reflexive","rp","reflexive rp",3,0,250,250,"Unambiguous","Match",250
"15412","Native",2,4,"reflexive","rp","reflexive rp",1,1,0,NA,"Ambiguous","Match",NA
"15414","Native",2,19,"reflexive","rp","reflexive rp",4,1,0,NA,"Unambiguous","Mismatch",NA
"15416","Native",2,1,"reflexive","rp","reflexive rp",2,0,263,263,"Ambiguous","Mismatch",263
"15418","Native",2,5,"reflexive","rp","reflexive rp",2,1,0,NA,"Ambiguous","Mismatch",NA
"15420","Native",2,15,"reflexive","rp","reflexive rp",4,0,3214,3214,"Unambiguous","Mismatch",3214
"15422","Native",2,7,"reflexive","rp","reflexive rp",4,0,243,243,"Unambiguous","Mismatch",243
"15424","Native",2,18,"reflexive","rp","reflexive rp",3,1,0,NA,"Unambiguous","Match",NA
"15426","Native",2,6,"reflexive","rp","reflexive rp",3,1,0,NA,"Unambiguous","Match",NA
"15428","Native",2,22,"reflexive","rp","reflexive rp",3,0,745,745,"Unambiguous","Match",745
"15430","Native",2,10,"reflexive","rp","reflexive rp",3,0,835,835,"Unambiguous","Match",835
"15432","Native",2,8,"reflexive","rp","reflexive rp",1,1,0,NA,"Ambiguous","Match",NA
"15434","Native",2,24,"reflexive","rp","reflexive rp",1,0,172,172,"Ambiguous","Match",172
"15436","Native",2,17,"reflexive","rp","reflexive rp",2,0,166,166,"Ambiguous","Mismatch",166
"15438","Native",2,2,"reflexive","rp","reflexive rp",3,1,0,NA,"Unambiguous","Match",NA
"15440","Native",2,11,"reflexive","rp","reflexive rp",4,1,0,NA,"Unambiguous","Mismatch",NA
"15442","Native",2,3,"reflexive","rp","reflexive rp",4,0,231,231,"Unambiguous","Mismatch",231
"15444","Native",2,21,"reflexive","rp","reflexive rp",2,0,138,138,"Ambiguous","Mismatch",138
"15446","Native",2,20,"reflexive","rp","reflexive rp",1,1,0,NA,"Ambiguous","Match",NA
"15448","Native",2,16,"reflexive","rp","reflexive rp",1,0,561,561,"Ambiguous","Match",561
"15450","Native",2,13,"reflexive","rp","reflexive rp",2,0,181,181,"Ambiguous","Mismatch",181
"15452","Native",2,9,"reflexive","rp","reflexive rp",2,1,0,NA,"Ambiguous","Mismatch",NA
"15454","Native",2,12,"reflexive","rp","reflexive rp",1,1,0,NA,"Ambiguous","Match",NA
"15456","Native",2,23,"reflexive","rp","reflexive rp",4,0,294,294,"Unambiguous","Mismatch",294
"15457","Native",3,11,"reflexive","rp","reflexive rp",1,0,244,244,"Ambiguous","Match",244
"15459","Native",3,21,"reflexive","rp","reflexive rp",3,0,322,322,"Unambiguous","Match",322
"15461","Native",3,2,"reflexive","rp","reflexive rp",4,0,1315,1315,"Unambiguous","Mismatch",1315
"15463","Native",3,20,"reflexive","rp","reflexive rp",2,0,238,238,"Ambiguous","Mismatch",238
"15465","Native",3,9,"reflexive","rp","reflexive rp",3,0,218,218,"Unambiguous","Match",218
"15467","Native",3,4,"reflexive","rp","reflexive rp",2,0,317,317,"Ambiguous","Mismatch",317
"15469","Native",3,3,"reflexive","rp","reflexive rp",1,0,321,321,"Ambiguous","Match",321
"15471","Native",3,1,"reflexive","rp","reflexive rp",3,1,0,NA,"Unambiguous","Match",NA
"15473","Native",3,13,"reflexive","rp","reflexive rp",3,0,237,237,"Unambiguous","Match",237
"15475","Native",3,18,"reflexive","rp","reflexive rp",4,0,376,376,"Unambiguous","Mismatch",376
"15477","Native",3,7,"reflexive","rp","reflexive rp",1,0,821,821,"Ambiguous","Match",821
"15479","Native",3,5,"reflexive","rp","reflexive rp",3,0,303,303,"Unambiguous","Match",303
"15481","Native",3,15,"reflexive","rp","reflexive rp",1,0,154,154,"Ambiguous","Match",154
"15483","Native",3,16,"reflexive","rp","reflexive rp",2,0,328,328,"Ambiguous","Mismatch",328
"15485","Native",3,8,"reflexive","rp","reflexive rp",2,0,382,382,"Ambiguous","Mismatch",382
"15487","Native",3,22,"reflexive","rp","reflexive rp",4,0,1939,1939,"Unambiguous","Mismatch",NA
"15489","Native",3,17,"reflexive","rp","reflexive rp",3,0,331,331,"Unambiguous","Match",331
"15491","Native",3,19,"reflexive","rp","reflexive rp",1,0,214,214,"Ambiguous","Match",214
"15493","Native",3,23,"reflexive","rp","reflexive rp",1,0,410,410,"Ambiguous","Match",410
"15495","Native",3,14,"reflexive","rp","reflexive rp",4,0,666,666,"Unambiguous","Mismatch",666
"15497","Native",3,24,"reflexive","rp","reflexive rp",2,0,293,293,"Ambiguous","Mismatch",293
"15499","Native",3,10,"reflexive","rp","reflexive rp",4,0,212,212,"Unambiguous","Mismatch",212
"15501","Native",3,12,"reflexive","rp","reflexive rp",2,0,292,292,"Ambiguous","Mismatch",292
"15503","Native",3,6,"reflexive","rp","reflexive rp",4,0,328,328,"Unambiguous","Mismatch",328
"15505","Native",4,21,"reflexive","rp","reflexive rp",4,0,316,316,"Unambiguous","Mismatch",316
"15507","Native",4,14,"reflexive","rp","reflexive rp",1,0,225,225,"Ambiguous","Match",225
"15509","Native",4,22,"reflexive","rp","reflexive rp",1,0,162,162,"Ambiguous","Match",162
"15511","Native",4,11,"reflexive","rp","reflexive rp",2,0,313,313,"Ambiguous","Mismatch",313
"15513","Native",4,15,"reflexive","rp","reflexive rp",2,0,162,162,"Ambiguous","Mismatch",162
"15515","Native",4,23,"reflexive","rp","reflexive rp",2,0,158,158,"Ambiguous","Mismatch",158
"15517","Native",4,18,"reflexive","rp","reflexive rp",1,0,110,110,"Ambiguous","Match",110
"15519","Native",4,6,"reflexive","rp","reflexive rp",1,0,202,202,"Ambiguous","Match",202
"15521","Native",4,10,"reflexive","rp","reflexive rp",1,0,125,125,"Ambiguous","Match",125
"15523","Native",4,12,"reflexive","rp","reflexive rp",3,0,158,158,"Unambiguous","Match",158
"15525","Native",4,19,"reflexive","rp","reflexive rp",2,0,134,134,"Ambiguous","Mismatch",134
"15527","Native",4,1,"reflexive","rp","reflexive rp",4,0,161,161,"Unambiguous","Mismatch",161
"15529","Native",4,20,"reflexive","rp","reflexive rp",3,0,145,145,"Unambiguous","Match",145
"15531","Native",4,16,"reflexive","rp","reflexive rp",3,0,186,186,"Unambiguous","Match",186
"15533","Native",4,2,"reflexive","rp","reflexive rp",1,0,96,96,"Ambiguous","Match",96
"15535","Native",4,5,"reflexive","rp","reflexive rp",4,0,145,145,"Unambiguous","Mismatch",145
"15537","Native",4,17,"reflexive","rp","reflexive rp",4,0,222,222,"Unambiguous","Mismatch",222
"15539","Native",4,24,"reflexive","rp","reflexive rp",3,0,189,189,"Unambiguous","Match",189
